Course_ID,Course_Feature_0,Course_Feature_1,Course_Feature_2,Course_Feature_3,Course_Feature_4,Course_Feature_5,Course_Feature_6,Course_Feature_7,Course_Feature_8,Course_Feature_9,Course_Feature_10,Course_Feature_11,Course_Feature_12,Course_Feature_13,Course_Feature_14,Course_Feature_15
CC0101EN,-0.039492946,-0.046960603,-0.03127965,-0.015159495,-0.2570755,0.007762156,-0.12002294,0.118434094,0.09451735,0.27944103,-0.110487685,0.05488553,-0.02987598,-0.071809225,-0.010483123,0.07957034
CL0101EN,-0.07254912,0.05614042,0.29424673,-0.090111904,-0.08128908,0.24346164,0.26726317,-0.025281888,0.033823274,0.19480594,-0.017052209,0.044628564,-0.25167733,-0.14036629,0.15838835,0.120747626
ML0120ENv3,-0.017471218,0.044614892,-0.099043824,-0.011788456,0.039947078,0.17644757,-0.034119684,0.0712145,-0.06343401,-0.10714531,-0.06594472,-0.045263022,0.020473165,-0.0979502,0.076772615,0.05733748
BD0211EN,0.23383015,-0.08093449,-0.058808435,-0.08440734,0.11882368,-0.18245493,0.19320227,-0.0430355,0.25030646,-0.011128797,0.025923047,-0.2895979,0.10795934,0.28743547,0.06517655,-0.055921376
DS0101EN,0.22167353,-0.01247448,0.27896678,0.040157463,0.08419265,-0.012153311,0.123990096,0.17368801,0.14299452,-0.11396672,0.07982608,0.05915461,-0.09008707,0.12560599,-0.01460565,-0.088862285
ST0101EN,0.04851061,-0.12154068,-0.08909459,-0.09245816,-0.018076278,-0.17616314,0.14717814,0.07397259,0.08041342,-0.08805208,-0.0032302279,-0.080789365,-0.013241016,-0.06762159,-0.24795142,-0.14130725
DS0301EN,-0.046620697,-0.05853766,-0.06867315,-0.10580993,-0.01769678,0.09783178,-0.20389004,-0.029495802,0.1496269,0.0140718045,-0.23328003,-0.090662874,0.2624052,-0.011794835,-0.20593598,0.17796613
DS0105EN,0.00048158053,-0.061177626,0.08338517,0.1319376,0.005409754,0.0006920866,-0.19574066,0.011725333,-0.1463362,-0.16234207,0.14340131,0.013462445,0.19749998,0.01827762,0.052373353,-0.24436171
BD0141EN,0.16601683,-0.10252536,0.21557476,0.103455044,-0.08855211,-0.22941615,-0.045974504,0.21931571,0.106041126,0.10105253,0.0597137,-0.22309513,0.03391179,0.26319045,-0.030695152,-0.02308884
CO0201EN,-0.06391899,0.22485144,-0.06848915,0.049348436,0.044931572,-0.24555515,-0.06789974,-0.09217421,-0.07936814,0.036794934,-0.028417401,0.16119632,0.19560394,0.2527083,0.22572741,-0.224667
CB0103EN,-0.030392485,-0.19710772,0.06119662,-0.015457972,-0.12853946,-0.20887794,0.2904118,-0.02541759,-0.0081831245,-0.09336457,0.033851672,-0.09015997,0.23202072,0.062352568,-0.05775425,-0.10949459
DV0101EN,-0.059264693,-0.027889645,0.010170852,0.09407002,0.15567654,0.052799825,0.17209564,-0.04844943,-0.13121794,-0.164295,-0.039602656,-0.20231897,0.24055843,-0.054404475,-0.088500716,-0.026199045
DS0103EN,0.09214469,0.079538554,-0.034967016,-0.17335498,-0.02005906,0.13250646,-0.024297308,-0.19357365,-0.07481195,-0.13362564,-0.10048467,0.18666561,0.07680841,0.26098967,0.0055270777,-0.12646055
BD0123EN,-0.122183725,0.034855265,-0.27434942,-0.11839416,-0.16975054,-0.08241065,0.11542853,-0.07357769,-0.13487521,-0.023325717,0.02735289,-0.0792066,0.06568177,0.10838465,-0.090884306,0.07987006
BC0101EN,0.15012905,-0.1946309,0.061867982,0.004062504,0.00027725296,0.042493943,-0.11538244,-0.17031337,0.007915632,-0.2796608,0.03217558,-0.19941193,-0.009625719,0.08307721,0.0030594913,0.03984994
TA0105EN,0.07045461,0.254946,-0.10198471,-0.14838628,-0.06333068,0.0033863191,-0.0076286257,-0.05643165,-0.034735113,-0.11826326,0.04410758,-0.09621651,0.10653787,0.20454839,-0.055712026,0.07688002
ML0151EN,-0.014538164,-0.12848738,-0.01589387,0.01676865,-0.054088924,-0.008952723,-0.11357259,0.09631496,0.11577753,-0.057193004,-0.10040077,0.18070245,0.023530822,0.00494879,0.21017385,0.24414635
BD0101EN,0.19239503,-0.054658175,-0.11665242,-0.036428735,-0.017659083,0.012634274,0.0035083746,0.027897151,0.1663373,-0.20767397,-0.080266654,0.04459655,-0.2221277,-0.18931527,-0.006297352,-0.04207856
BD0111EN,-0.0039082067,-0.10323009,-0.1128758,0.14260884,-0.045424793,-0.02484378,-0.030525414,0.17865638,-0.12248671,0.020311443,-0.13702957,0.051732812,-0.005905984,0.20013334,0.011936092,0.019134609
BC0201EN,-0.13983221,0.22926044,0.002108743,0.0030131808,0.038459007,-0.08047266,-0.16291443,0.22597499,0.11815657,0.18909957,-0.041353945,-0.10921131,-0.043126646,-0.13168038,0.0026002815,-0.021600787
ML0122ENv1,0.002637469,0.02272083,0.20775452,0.12645422,-0.03209398,-0.010979333,-0.044415515,-0.13003078,0.15303795,-0.04102595,0.0026677134,-0.0042738495,-0.2079241,-0.06623046,0.004739218,-0.07490259
BD0131EN,-0.111546464,-0.024775025,-0.076536305,-0.20546143,0.12812482,-0.017209599,0.12040816,-0.009266337,0.074065454,0.11251002,0.017100763,-0.049838115,-0.10777693,0.0043496867,0.070290156,0.278266
BD0121EN,0.09523247,0.050920054,-0.0069222776,-0.08613797,0.02716113,-0.12153637,-0.19519944,0.06515911,-0.007799607,-0.060759928,-0.039894678,0.1671891,0.0613709,-0.1927396,0.12484817,0.19884884
PY0101EN,0.091510236,-0.10674209,-0.061780114,-0.01311871,0.02425577,0.26768342,-0.09150666,0.04848755,0.007681172,0.098564886,0.0058479696,0.04953154,0.0031989312,-0.113723874,0.27047688,0.016921572
BD0145EN,-0.0009372904,-0.07194506,0.002071204,-0.13421012,-0.05022543,-0.058483854,0.27973387,0.02529282,-0.022065595,0.07477272,-0.004979418,0.16272962,0.12967734,0.12312391,-0.044744335,0.09555681
ML0101EN,0.051111955,-0.042355686,0.05594828,-0.11068541,-0.0033700222,-0.14292777,-0.076744996,0.09872496,0.04114287,0.022089912,-0.06736269,-0.21753447,-0.014800632,0.10285353,-0.21765858,0.19276692
CO0301EN,-0.10812166,0.06443532,0.11435566,0.10621297,-0.007420175,-0.04407649,0.11994414,0.027140142,0.16496278,0.03717501,0.24237701,-0.017640801,-0.06486059,-0.106138915,-0.11813333,-0.28378677
ML0101ENv3,0.119441055,0.079402685,-0.029617924,-0.0061252583,0.09150288,0.009932767,-0.15189376,0.116782315,0.003964104,-0.00072096055,-0.0022946424,-0.09127843,-0.0065430882,0.072361544,-0.22933756,0.040123064
DB0151EN,-0.054542508,-0.15701723,0.060745396,-0.005517788,0.21534339,-0.0017588238,0.16761053,-0.034998424,0.023109986,-0.20709172,-0.05532108,0.0827112,0.023535213,-0.16240801,0.18164495,0.05276478
CO0101EN,-0.25523028,-0.0013268392,-0.09711943,0.025482757,-0.032904115,0.27733922,0.0064413305,-0.0038622664,0.053813104,0.191716,0.025482664,0.05667051,0.044977993,0.13949181,-0.12740198,0.03125956
RP0101EN,0.101009265,-0.002645673,-0.26547256,0.12337281,-0.027342027,-0.15121554,0.054774314,0.07051059,-0.090709604,0.16663288,0.13780524,0.13310158,-0.05763159,0.09441333,-0.24523416,0.0034215627
SC0101EN,-0.09175094,-0.10919958,-0.23943709,-0.11549488,-0.0613543,-0.008245624,-0.20849963,0.0759554,-0.007862325,-0.07418199,0.039647073,-0.086666405,0.04527646,-0.05970488,-0.24746637,-0.19469061
PA0101EN,0.00062192546,-0.04578064,-0.17490277,0.19449052,-0.039995883,-0.12738444,0.054896027,0.10627411,0.028097037,-0.042063955,-0.12620188,-0.15573563,-0.0355484,-0.05106236,0.010311539,0.053196087
LB0101ENv1,-0.26831746,0.18024242,-0.1900489,0.077286735,0.10021153,-0.016825093,0.25904918,0.04831111,-0.0006149798,-0.076457866,-0.03660646,-0.10221466,-0.14711225,0.08854616,0.1797556,-0.021922888
ML0103EN,0.1536717,0.17091493,-0.04053088,-0.028471492,-0.28230825,-0.15851289,0.015814032,0.11936856,0.043631375,0.088351555,0.11369745,-0.11252353,-0.12723479,-0.0233478,0.07616568,-0.13159168
CC0150EN,-0.25865337,0.15450507,0.14476392,-0.06769651,0.04551732,-0.08019228,-0.08619561,0.112036094,-0.067491084,0.0011749225,0.0842664,-0.06291287,0.1459682,-0.16851147,-0.07911996,-0.18266559
DS0110EN,0.042970974,0.1735148,-0.19772692,0.08858827,-0.19109538,-0.24470006,-0.04215356,0.12809007,0.2626913,-0.03430485,-0.011822618,0.09579524,0.13013925,-0.028742872,-0.09992023,0.10745268
DA0101EN,-0.17693737,-0.022206912,-0.25378275,-0.21698365,0.14733508,0.14531253,-0.076562345,0.0020493753,0.07524079,0.058211613,0.11299194,0.0051597855,0.0062877606,-0.05604865,0.039509974,-0.12678903
ML0122EN,-0.027400276,0.19354574,-0.14871974,-0.1492743,0.11531567,0.014106416,-0.0776115,0.022507172,-0.011624098,-0.1665455,-0.00813044,0.024071246,-0.22183079,-0.2328669,0.20750256,0.026430579
ML0115EN,-0.087407954,-0.0103334375,-0.21205088,0.073965535,0.1808379,-0.0056278147,0.03484576,-0.1411514,-0.052589614,-0.1703576,-0.20481372,-0.1362314,-0.29066968,0.0003883909,0.03304591,-0.10606348
ML0111EN,-0.06083921,-0.2219686,-0.16417183,-0.21902193,-0.10970261,-0.104826614,0.103791766,0.045036763,-0.16766958,0.094276756,-0.021915603,-0.069116876,0.04417925,0.034410395,-0.023455322,0.028820725
ML0109EN,0.2163473,0.05181066,-0.0033895012,0.016504701,0.02478569,0.08432505,0.2558705,-0.03648445,0.041644976,0.0582078,-0.022549769,0.17424789,0.026298625,0.2460221,0.12549369,-0.21594669
BD0223EN,0.11105462,0.0029819405,0.10280949,0.16811153,0.16697031,-0.051351037,0.15933862,0.21992578,0.2766934,-0.17277344,-0.07102654,-0.07306796,-0.051296268,-0.21200584,0.019948445,0.0021477384
BC0202EN,0.03967721,-0.09107713,0.060561456,0.07962656,0.0995841,-0.08546012,-0.16784608,-0.16599149,-0.03882098,-0.040601373,0.15640089,0.20436464,-0.055272132,-0.1285626,-0.09425854,-0.010922087
CC0103EN,0.015693184,0.025238167,0.051216435,0.09677262,0.1532796,0.11554453,-0.121451505,-0.057973146,0.19268237,0.19629844,-0.13821502,0.06510258,-0.041470457,-0.043756716,-0.073129974,-0.0462958
COM001EN,0.090727344,0.16046523,0.20120296,0.118906386,0.14521676,-0.14560759,0.24934441,0.048001535,0.13223167,-0.022884367,0.16216198,-0.02500855,-0.009553028,0.1406503,-0.19724531,0.070406064
DB0101EN,-0.014985181,-0.014796747,0.060784683,0.08244118,-0.24634978,-0.09557974,-0.1209032,-0.10231863,-0.06320762,0.017406646,0.2703994,-0.17493284,0.19395883,-0.2880165,-0.07903024,-0.12189634
CNSC02EN,-0.058410473,-0.055417836,0.23242244,-0.15206094,-0.020371662,-0.026216153,-0.026455473,-0.024105746,-0.04015653,-0.067182705,-0.17645232,0.2204455,-0.24460807,-0.026474256,-0.04304974,0.07807425
DV0151EN,-0.19115578,-0.028203426,0.023949865,0.10259308,-0.1291311,-0.07615568,0.15062277,0.030895485,0.060502566,0.11755965,-0.09529602,-0.02860152,-0.17604333,-0.012104536,0.07397686,0.123659216
RP0105EN,-0.02541326,-0.0002976096,0.16069606,0.08336704,-0.0083550215,0.10214149,0.15068081,0.2852582,-0.055678796,-0.14136147,-0.1036834,-0.042166743,0.07761151,0.056189917,0.0128662605,-0.09831104
LB0109ENv1,-0.038440395,0.035816908,-0.053304736,0.17791307,-0.07792568,-0.009278933,-0.02611059,0.06922002,0.10276205,-0.061844643,0.26476565,0.22873919,-0.14123651,-0.0959562,0.035001155,-0.20107944
SC0105EN,0.15469594,-0.0017492801,-0.1432341,-0.22923036,-0.017849987,-0.045195494,0.061906185,-0.029287128,-0.1441178,0.017103719,0.09969415,-0.10837577,0.030289644,0.11743218,-0.12319848,-0.058795348
RP0103,-0.041030027,-0.005640812,-0.061233636,-0.03906523,-0.07990689,0.030899161,0.1337868,-0.19609877,0.12944058,-0.17152987,-0.09289189,-0.16275343,-0.14468352,-0.08696844,0.024308324,-0.16144072
WA0101EN,0.1500836,-0.08514657,-0.25661936,-0.15463708,0.13495523,0.055154905,0.11371932,-0.10920382,0.02092087,-0.19704065,0.10484827,-0.14124508,-0.063829266,-0.13491035,0.1421691,-0.22856104
RAVSCTEST1,-0.14421058,0.08682723,-0.0899992,0.0319191,0.18644075,-0.035431378,0.0801534,0.047555108,-0.08752717,0.16108201,-0.050261807,-0.061126456,-0.2009092,-0.05065623,0.0009898514,0.033594206
RP0151EN,0.0091357175,-0.23133472,0.1254382,-0.004743635,-0.040063348,0.10379758,0.04913743,0.09000622,-0.17859437,0.0074770423,0.20719802,-0.10653231,0.029234165,0.008554061,-0.047918893,0.02766704
CO0401EN,0.06374924,-0.029477118,0.097921655,0.06306438,-0.08620617,-0.0034567101,-0.19833605,0.15845537,0.03256445,0.12512432,-0.019448254,0.2651275,0.09832242,0.04206885,-0.0486318,0.09572508
SC0103EN,-0.12510988,0.00922926,0.025541263,-0.02963017,0.036850296,-0.029940682,-0.233804,0.09790738,-0.15913382,-0.2910789,-0.018807244,0.04348744,0.043162577,-0.038638998,-0.18982786,-0.14491563
LB0111EN,-0.13728349,-0.045892578,0.0010743595,-0.05493973,0.005746764,-0.13018142,-0.13613139,-0.021784656,0.08244568,-0.13164611,-0.22635438,0.0049101147,0.004651131,-0.070108555,0.23675066,0.08851867
DS0132EN,-0.012789352,-0.1225977,0.09804523,0.008896177,0.102718286,0.20880733,-0.14735404,-0.226418,0.077070236,-0.14077963,-0.110127516,0.059634026,-0.035934675,0.10500016,0.028035482,0.00038872482
CB0105ENv1,0.18958794,0.20182367,0.05516858,0.031965002,-0.05845355,0.077930465,-0.031430244,-0.0005962996,0.0021208643,-0.098867156,0.10218253,-0.19120024,-0.051182155,-0.24467586,-0.24790354,-0.06146626
CC0201EN,-0.12431048,-0.23127443,-0.12888497,-0.26326343,-0.2426693,0.20160614,-0.034599874,0.13112864,-0.049531553,-0.0013386728,-0.025404813,0.034617472,-0.103197336,0.059695154,0.11037195,-0.084242076
